teamA,teamB,scoreA,scoreB,date
Bilibili Gaming,TT,2,0,2025-05-05
Funplus Phoenix,Team WE,0,2,2025-05-05
Anyone s Legend,Top Esports,2,0,2025-05-04
OMG,Ultra Prime,2,1,2025-05-04
Invictus Gaming,Top Esports,1,2,2025-05-03
Bilibili Gaming,Funplus Phoenix,2,1,2025-05-03
Ninjas in Pyjamas,Team WE,0,2,2025-05-03
Bilibili Gaming,Weibo Gaming,2,1,2025-05-02
Royal Never Give Up,OMG,2,1,2025-05-02
Invictus Gaming,Anyone s Legend,0,2,2025-05-01
Top Esports,Funplus Phoenix,2,0,2025-05-01
Weibo Gaming,Invictus Gaming,2,1,2025-04-30
JD Gaming,TT,2,0,2025-04-30
Weibo Gaming,Bilibili Gaming,2,1,2025-04-29
LGD Gaming,Edward Gaming,1,2,2025-04-29
Bilibili Gaming,Funplus Phoenix,1,2,2025-04-28
LNG Esports,Royal Never Give Up,2,0,2025-04-28
Top Esports,JD Gaming,2,1,2025-04-27
Weibo Gaming,Invictus Gaming,2,1,2025-04-27
Ninjas in Pyjamas,Anyone s Legend,0,2,2025-04-27
TT,JD Gaming,1,2,2025-04-26
Ultra Prime,Edward Gaming,2,1,2025-04-26
Ninjas in Pyjamas,Bilibili Gaming,0,2,2025-04-25
Team WE,Funplus Phoenix,2,1,2025-04-25
Anyone s Legend,JD Gaming,0,2,2025-04-24
Weibo Gaming,Team WE,1,2,2025-04-24
Top Esports,Ninjas in Pyjamas,2,1,2025-04-23
OMG,LNG Esports,0,2,2025-04-23
TT,Team WE,0,2,2025-04-22
Royal Never Give Up,LGD Gaming,0,2,2025-04-22
Team WE,Invictus Gaming,0,2,2025-04-21
JD Gaming,Weibo Gaming,1,2,2025-04-21
Funplus Phoenix,Ninjas in Pyjamas,2,0,2025-04-20
Bilibili Gaming,Top Esports,1,2,2025-04-20
LNG Esports,Ultra Prime,2,0,2025-04-20
Anyone s Legend,Team WE,2,1,2025-04-19
Edward Gaming,OMG,2,0,2025-04-19
Invictus Gaming,JD Gaming,2,1,2025-04-18
TT,Ninjas in Pyjamas,2,1,2025-04-18
Weibo Gaming,Ninjas in Pyjamas,2,1,2025-04-17
Team WE,Bilibili Gaming,1,2,2025-04-17
Top Esports,Team WE,2,1,2025-04-16
LGD Gaming,LNG Esports,2,0,2025-04-16
Invictus Gaming,Ninjas in Pyjamas,1,2,2025-04-15
TT,Anyone s Legend,0,2,2025-04-15
JD Gaming,Funplus Phoenix,1,2,2025-04-14
Ultra Prime,Royal Never Give Up,2,1,2025-04-14
Anyone s Legend,Weibo Gaming,2,0,2025-04-13
Top Esports,TT,2,0,2025-04-13
Ninjas in Pyjamas,Team WE,2,0,2025-04-13
Bilibili Gaming,JD Gaming,0,2,2025-04-12
Invictus Gaming,TT,2,1,2025-04-12
Funplus Phoenix,Weibo Gaming,2,0,2025-04-12
Invictus Gaming,Top Esports,2,1,2025-04-11
Anyone s Legend,Funplus Phoenix,2,1,2025-04-11
Bilibili Gaming,Anyone s Legend,1,2,2025-04-10
TT,Weibo Gaming,0,2,2025-04-10
JD Gaming,Team WE,2,0,2025-04-09
LGD Gaming,OMG,2,1,2025-04-09
Anyone s Legend,Invictus Gaming,2,0,2025-04-08
Funplus Phoenix,Top Esports,0,2,2025-04-08
Top Esports,Weibo Gaming,2,1,2025-04-07
Edward Gaming,LNG Esports,2,1,2025-04-07
Bilibili Gaming,Invictus Gaming,2,0,2025-04-06
TT,Funplus Phoenix,2,1,2025-04-06
JD Gaming,Ninjas in Pyjamas,2,0,2025-04-06
Anyone s Legend,Top Esports,1,2,2025-04-05
TT,Bilibili Gaming,0,2,2025-04-05
Funplus Phoenix,Invictus Gaming,1,2,2025-04-05
