league,date,Team,GP,W,L,AGT,K,D,KD,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
CBLOL,2023-08-05,KaBuM! Esports,17.0,1.0,16.0,32.811764705882354,147.0,302.0,0.4867549668874172,0.8117080976308463,-0.08681723235294117,-1065.2941176470588,0.47058823529411764,0.5294117647058824,0.29411764705882354,4.294117647058823,0.29411764705882354,,0.4117647058823529,0.2962962962962963,0.0,0.17647058823529413,0.11538461538461539,0.49212540819681816,0.46435658925271406,3.800588235294118,1.5669956945665082,1.4863814277689407,0.058823529411764705
CBLOL,2023-08-06,KaBuM! Esports,18.0,1.0,17.0,33.45,167.0,321.0,0.5202492211838006,0.8155221574188493,-0.085397525,-1187.2777777777778,0.4444444444444444,0.5,0.2777777777777778,4.166666666666667,0.3333333333333333,,0.3888888888888889,0.3068181818181818,0.0,0.16666666666666666,0.1,0.49304312007588486,0.46353827127598785,3.805144444444444,1.568979756180132,1.5003685142372576,0.05555555555555555
CBLOL,2023-01-21,LOUD,1.0,1.0,0.0,24.0,18.0,4.0,4.5,0.9166666666666666,0.2141,2677.0,1.0,1.0,1.0,6.0,1.0,,1.0,1.0,,0.0,,0.5171339563862928,0.5900383141762452,3.5417,1.5833333333333333,1.3333333333333333,1.0
CBLOL,2023-01-22,LOUD,2.0,2.0,0.0,32.75,38.0,24.0,1.5833333333333333,0.9402610441767068,0.06169585,989.5,1.0,0.5,1.0,5.0,1.0,,0.5,0.6666666666666666,,0.0,0.0,0.51267688894937,0.5406160259726627,3.6383,1.6109437751004014,1.461847389558233,1.0
CBLOL,2023-01-28,LOUD,3.0,2.0,1.0,32.66111111111111,45.0,47.0,0.9574468085106383,0.9346908756970759,-0.008185099999999996,489.3333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.0,0.6666666666666666,,0.6666666666666666,0.6153846153846154,,0.0,0.0,0.5135081493122223,0.5302051433204703,3.4004,1.4331210595760844,1.3439851418672808,0.6666666666666666
CBLOL,2023-01-29,LOUD,4.0,2.0,2.0,32.420833333333334,53.0,63.0,0.8412698412698413,0.8902926047223337,-0.0196654,-295.5,0.5,0.25,0.5,5.0,0.625,,0.5,0.47058823529411764,,0.0,0.0,0.5147042827158741,0.4927796436538748,3.3705,1.4455032552498865,1.4496292349493567,0.5
CBLOL,2023-02-04,LOUD,5.0,2.0,3.0,33.019999999999996,60.0,85.0,0.7058823529411765,0.8759987896602199,-0.04865132,-611.4,0.4,0.4,0.6,4.6,0.5,,0.6,0.4090909090909091,,0.0,0.0,0.5094750966532484,0.48664795734734223,3.4248799999999995,1.4669908394940268,1.4364092703124265,0.4
CBLOL,2023-02-05,LOUD,6.0,3.0,3.0,32.22777777777778,77.0,94.0,0.8191489361702128,0.8833008781759695,-0.02028693333333333,-567.3333333333334,0.3333333333333333,0.3333333333333333,0.5,4.166666666666667,0.4166666666666667,,0.6666666666666666,0.48,,0.16666666666666666,0.2,0.5064992658330143,0.4919597175425383,3.4613833333333326,1.4701338756789848,1.415168102618846,0.5
CBLOL,2023-02-11,LOUD,7.0,4.0,3.0,31.373809523809523,94.0,104.0,0.9038461538461539,0.9040538139467493,-0.014462814285714285,-462.42857142857144,0.2857142857142857,0.2857142857142857,0.5714285714285714,3.857142857142857,0.35714285714285715,,0.7142857142857143,0.5,,0.2857142857142857,0.2727272727272727,0.507766823326125,0.5021903126309631,3.500228571428571,1.4832440022826672,1.381708713809351,0.5714285714285714
CBLOL,2023-02-12,LOUD,8.0,4.0,4.0,30.36875,98.0,126.0,0.7777777777777778,0.9303328014891199,-0.0463235875,-1035.0,0.25,0.25,0.5,3.5,0.3125,,0.75,0.4838709677419355,,0.25,0.25,0.5070481899422399,0.5009244600600293,3.3948375,1.4424813591401908,1.3054236960117536,0.5
CBLOL,2023-02-18,LOUD,9.0,5.0,4.0,30.672222222222224,113.0,135.0,0.837037037037037,0.907526437845985,-0.0345955,-625.8888888888889,0.3333333333333333,0.2222222222222222,0.4444444444444444,3.5555555555555554,0.3888888888888889,,0.7777777777777778,0.4857142857142857,,0.3333333333333333,0.35714285714285715,0.5071622281888233,0.5026735941274335,3.0176333333333334,1.4433335478359266,1.3147908516411961,0.5555555555555556
CBLOL,2023-02-19,LOUD,10.0,5.0,5.0,30.635,119.0,150.0,0.7933333333333333,0.8860807247544559,-0.04065976,-692.5,0.3,0.2,0.4,3.5,0.4,,0.8,0.48717948717948717,,0.3,0.3333333333333333,0.5052877042116398,0.5033996121981338,2.71587,1.4343137244054693,1.3450279380942383,0.5
CBLOL,2023-02-25,LOUD,11.0,6.0,5.0,31.88030303030303,140.0,169.0,0.8284023668639053,0.8875511715129366,-0.04445547272727273,-722.0909090909091,0.2727272727272727,0.18181818181818182,0.36363636363636365,3.4545454545454546,0.45454545454545453,,0.7272727272727273,0.4444444444444444,0.0,0.36363636363636365,0.35294117647058826,0.5031383347592133,0.5036659305368535,2.4689727272727273,1.4536139804916433,1.3703945028471203,0.5454545454545454
