league,date,Team,GP,W,L,AGT,K,D,KD,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
VCS,2024-07-19,GAM Esports,17.0,12.0,5.0,30.517647058823528,282.0,213.0,1.323943661971831,0.957599375302681,0.05643364117647059,992.5882352941177,0.4117647058823529,0.7647058823529411,0.5294117647058824,4.823529411764706,0.47058823529411764,0.5204081632653061,0.47058823529411764,0.5789473684210527,0.6666666666666666,0.5294117647058824,0.6363636363636364,0.5100452516938025,0.5139714906696099,3.9025764705882353,1.3265457604130892,1.8089983362986182,0.7058823529411765
VCS,2024-07-27,GAM Esports,20.0,14.0,6.0,31.25333333333333,360.0,289.0,1.245674740484429,1.0307179051316857,0.042005354999999994,799.3,0.4,0.7,0.55,4.95,0.4,0.5172413793103449,0.5,0.5652173913043478,0.75,0.5,0.5714285714285714,0.5106295248865288,0.5122542544533055,3.8802249999999994,1.3006495892847965,1.8180172793725287,0.7
VCS,2024-07-28,GAM Esports,22.0,16.0,6.0,31.763636363636362,404.0,324.0,1.2469135802469136,1.0342638681507874,0.04211389999999999,857.9545454545455,0.45454545454545453,0.6818181818181818,0.5454545454545454,5.181818181818182,0.4090909090909091,0.5234375,0.5,0.5533980582524272,0.75,0.5454545454545454,0.5806451612903226,0.5102062207259974,0.5105434434241277,3.886854545454545,1.3074687577046118,1.8057240454442072,0.7272727272727273
VCS,2024-08-01,GAM Esports,24.0,18.0,6.0,31.657638888888886,447.0,346.0,1.2919075144508672,1.036819651883265,0.051960741666666664,812.9166666666666,0.4166666666666667,0.6666666666666666,0.5416666666666666,5.166666666666667,0.375,0.5071428571428571,0.5416666666666666,0.5752212389380531,0.75,0.5833333333333334,0.6176470588235294,0.509192292066526,0.5157659447690969,3.912020833333333,1.2912867378244124,1.7884139447957166,0.75
VCS,2024-08-03,GAM Esports,26.0,20.0,6.0,31.945512820512818,480.0,361.0,1.3296398891966759,1.0091593256372198,0.05194012615384615,814.0769230769231,0.46153846153846156,0.6538461538461539,0.5,5.115384615384615,0.4230769230769231,0.5197368421052632,0.5384615384615384,0.568,0.75,0.6153846153846154,0.6388888888888888,0.5085201348580081,0.5177826770148071,3.8979538461538463,1.2917420259828432,1.7892535389703697,0.7692307692307693
VCS,2024-08-04,GAM Esports,28.0,20.0,8.0,32.03630952380952,500.0,403.0,1.2406947890818858,1.0026145930144552,0.03712015285714285,678.6428571428571,0.5,0.6071428571428571,0.4642857142857143,5.035714285714286,0.42857142857142855,0.524390243902439,0.5357142857142857,0.5488721804511278,0.75,0.5714285714285714,0.5897435897435898,0.5076354841780826,0.5104014032061677,3.930153571428572,1.281843497285116,1.8223139812768936,0.7142857142857143
VCS,2024-08-08,GAM Esports,3.0,3.0,0.0,32.105555555555554,51.0,37.0,1.3783783783783783,0.9079216426537379,0.0719837,-2836.3333333333335,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.2777777777777778,1.0,0.5333333333333333,,1.0,1.0,0.49991691573015723,0.4977118770028004,4.360033333333334,1.480173959596751,1.8907224887163576,1.0
VCS,2024-08-11,GAM Esports,8.0,6.0,2.0,37.579166666666666,150.0,115.0,1.3043478260869565,0.8751893876509295,-0.006187883750000001,-2377.625,0.75,0.0,0.125,2.625,0.5,0.2222222222222222,0.625,0.5909090909090909,0.4,0.625,0.75,0.4947060297229182,0.49781490565043446,4.1572875,1.4874019479720477,1.8247880681749462,0.75
VCS,2024-08-18,GAM Esports,11.0,9.0,2.0,35.945454545454545,223.0,134.0,1.664179104477612,0.9011972493115064,0.03860163,-1275.7272727272727,0.7272727272727273,0.09090909090909091,0.36363636363636365,3.0,0.5454545454545454,0.2857142857142857,0.5454545454545454,0.6101694915254238,0.4,0.7272727272727273,0.8095238095238095,0.4994831049736677,0.5069441211031773,4.250472727272727,1.496142879488268,1.8549209375728986,0.8181818181818182
VCS,2024-01-20,MGN Blue Esports,2.0,2.0,0.0,28.65833333333333,47.0,36.0,1.3055555555555556,1.4446725055729477,0.08730294999999999,1180.5,0.5,0.5,0.5,5.0,1.0,0.5833333333333334,0.5,0.5714285714285714,,1.0,1.0,0.48853908217958675,0.5874186763563992,4.3622,1.5204199302417178,1.8123347910296859,1.0
VCS,2024-01-26,MGN Blue Esports,4.0,2.0,2.0,29.39583333333333,75.0,86.0,0.872093023255814,1.3726441217473437,0.019871227499999995,42.5,0.5,0.25,0.5,3.75,1.0,0.3333333333333333,0.25,0.5,,0.75,0.6666666666666666,0.48538671616163614,0.5106079230838599,3.9803499999999996,1.3817933060897551,1.7527940140371148,0.5
