GP_A,W_A,L_A,AGT_A,K_A,D_A,KD_A,CKPM_A,GSPD_A,GD15_A,FB%_A,FT%_A,F3T%_A,PPG_A,HLD%_A,GRB%_A,FD%_A,DRG%_A,ELD%_A,FBN%_A,BN%_A,LNE%_A,JNG%_A,WPM_A,CWPM_A,WCPM_A,winrate%_A,GP_B,W_B,L_B,AGT_B,K_B,D_B,KD_B,CKPM_B,GSPD_B,GD15_B,FB%_B,FT%_B,F3T%_B,PPG_B,HLD%_B,GRB%_B,FD%_B,DRG%_B,ELD%_B,FBN%_B,BN%_B,LNE%_B,JNG%_B,WPM_B,CWPM_B,WCPM_B,winrate%_B,teamA,teamB,date,league,teamA_win
25.0,21.0,4.0,28.994666666666667,345.0,177.0,1.9491525423728813,0.7364739560501308,0.075281308,1335.8,0.52,0.68,0.68,4.64,0.5,,0.6,0.6237623762376238,,0.76,0.7142857142857143,0.5054789533051122,0.5198446759176106,3.4575600000000004,1.3727427393069729,1.4983215860355028,0.84,26.0,8.0,18.0,30.617948717948714,213.0,367.0,0.5803814713896458,0.7300124084450865,-0.1003712653846154,-1859.923076923077,0.23076923076923078,0.23076923076923078,0.23076923076923078,4.153846153846154,0.5384615384615384,,0.23076923076923078,0.336283185840708,0.5,0.3076923076923077,0.4117647058823529,0.48404621089721633,0.4641045433331416,3.457653846153846,1.4426889184726395,1.6981166603846876,0.3076923076923077,KT Rolster,DRX,2023-07-16,LCK,1
25.0,16.0,9.0,30.24333333333333,327.0,221.0,1.4796380090497738,0.7334311882446062,0.04544420400000001,681.72,0.52,0.44,0.56,5.24,0.52,,0.72,0.6542056074766355,0.3333333333333333,0.56,0.6666666666666666,0.49971538251071107,0.5237804889877439,3.54514,1.4412638776644777,1.6739014881298513,0.64,25.0,15.0,10.0,30.49866666666667,310.0,280.0,1.1071428571428572,0.7855920264812655,0.033972464,801.64,0.4,0.68,0.68,5.6,0.58,,0.56,0.5849056603773585,,0.52,0.5714285714285714,0.5096796514567562,0.5089057378839951,3.5222640000000003,1.4445527108057796,1.6926617194130384,0.6,Dplus KIA,T1,2023-07-16,LCK,1
26.0,15.0,11.0,30.99038461538461,318.0,280.0,1.1357142857142857,0.7547673811372604,0.018528691923076927,66.5,0.5769230769230769,0.5,0.5384615384615384,4.269230769230769,0.46153846153846156,,0.5,0.504424778761062,0.75,0.38461538461538464,0.5277777777777778,0.5031954558045559,0.513392464767218,3.543738461538462,1.6279987337205577,1.5487237995941299,0.5769230769230769,44.0,13.0,31.0,33.27840909090909,363.0,525.0,0.6914285714285714,0.6177615392508308,-0.06668686922727274,-1052.2954545454545,0.45454545454545453,0.3409090909090909,0.2727272727272727,2.6363636363636362,0.43529411764705883,,0.5227272727272727,0.40865384615384615,0.6,0.36363636363636365,0.41935483870967744,0.49306768295705355,0.4678734225840897,2.565243181818182,1.4888886170293463,1.8349383623203714,0.29545454545454547,Hanwha Life Esports,BRION,2023-07-15,LCK,1
24.0,8.0,16.0,30.64097222222222,206.0,337.0,0.6112759643916914,0.7388564140094521,-0.0898084125,-1813.2916666666667,0.25,0.25,0.25,4.208333333333333,0.5416666666666666,,0.25,0.3557692307692308,0.5,0.3333333333333333,0.4375,0.484210932822009,0.4707609145420791,3.5071333333333334,1.4611643477809861,1.6876529773722566,0.3333333333333333,25.0,22.0,3.0,28.379333333333328,350.0,167.0,2.095808383233533,0.7343943026496411,0.099758176,1557.96,0.72,0.84,0.8,5.96,0.44,,0.48,0.6633663366336634,0.5,0.76,0.7931034482758621,0.5164951533678144,0.5669261686741194,3.2952640000000004,1.0525461445795665,1.7211137426731329,0.88,DRX,Gen.G,2023-07-14,LCK,0
23.0,13.0,10.0,30.28115942028986,265.0,267.0,0.9925093632958801,0.7740580215920917,0.027341639130434775,627.7826086956521,0.391304347826087,0.6521739130434783,0.6956521739130435,5.521739130434782,0.5434782608695652,,0.5217391304347826,0.5567010309278351,,0.4782608695652174,0.5333333333333333,0.5101617039522269,0.5026693277674529,3.5054000000000003,1.437688056040934,1.6817915060635347,0.5652173913043478,25.0,6.0,19.0,29.90866666666666,212.0,350.0,0.6057142857142858,0.7683209309739631,-0.07497940000000002,-1376.24,0.44,0.28,0.12,3.16,0.48,,0.52,0.36893203883495146,,0.24,0.3142857142857143,0.4874711297809505,0.45812851788533765,3.688184,1.6729002872174388,1.6575888899084712,0.24,T1,Nongshim RedForce,2023-07-14,LCK,1
23.0,14.0,9.0,31.244927536231884,289.0,240.0,1.2041666666666666,0.7484767425625598,0.028764521304347826,144.47826086956522,0.5652173913043478,0.5217391304347826,0.5652173913043478,4.3478260869565215,0.45652173913043476,,0.4782608695652174,0.48514851485148514,0.75,0.391304347826087,0.53125,0.5045396204187332,0.5175401394294382,3.570926086956522,1.6318275048411273,1.5768374686815392,0.6086956521739131,22.0,19.0,3.0,28.988636363636363,305.0,148.0,2.060810810810811,0.7274028213919717,0.07737248636363638,1445.5,0.5454545454545454,0.6818181818181818,0.6818181818181818,4.7272727272727275,0.5,,0.6363636363636364,0.6629213483146067,,0.7727272727272727,0.75,0.5052565642688814,0.5200408079550389,3.466009090909091,1.3831100964873835,1.5118180236950758,0.8636363636363636,Hanwha Life Esports,KT Rolster,2023-07-13,LCK,0
23.0,20.0,3.0,28.8231884057971,304.0,159.0,1.9119496855345912,0.6977930132432787,0.08726775652173913,1154.2608695652175,0.7391304347826086,0.8260869565217391,0.782608695652174,5.608695652173913,0.43478260869565216,,0.4782608695652174,0.648936170212766,0.5,0.7391304347826086,0.7777777777777778,0.514889592910552,0.5617113064781563,3.300130434782609,1.052544231926836,1.7439028496942497,0.8695652173913043,23.0,6.0,17.0,30.48550724637681,204.0,304.0,0.6710526315789473,0.7346697831610199,-0.060334304347826086,-956.7391304347826,0.43478260869565216,0.30434782608695654,0.13043478260869565,3.130434782608696,0.4782608695652174,,0.5217391304347826,0.3854166666666667,,0.2608695652173913,0.3333333333333333,0.48942158442506195,0.4655220484777751,3.7491347826086954,1.711830900045644,1.704625173831284,0.2608695652173913,Gen.G,Nongshim RedForce,2023-07-12,LCK,1
23.0,6.0,17.0,32.757246376811594,249.0,342.0,0.7280701754385965,0.7743453588648607,-0.03549288434782609,-1130.3478260869565,0.391304347826087,0.4782608695652174,0.43478260869565216,3.652173913043478,0.45652173913043476,,0.4782608695652174,0.4,0.5,0.5217391304347826,0.4166666666666667,0.5008709289215967,0.4696781730277263,3.784878260869565,1.7283406833085,1.8085646192193348,0.2608695652173913,23.0,14.0,9.0,29.789130434782603,290.0,197.0,1.4720812182741116,0.7233482364050215,0.0457489347826087,644.4347826086956,0.5217391304347826,0.43478260869565216,0.5217391304347826,5.391304347826087,0.5217391304347826,,0.7391304347826086,0.6391752577319587,0.5,0.5652173913043478,0.6551724137931034,0.49891067355897684,0.5170302314471802,3.4794391304347823,1.4354543875371477,1.673772400167455,0.6086956521739131,Liiv SANDBOX,Dplus KIA,2023-07-12,LCK,0
20.0,17.0,3.0,28.834166666666665,279.0,134.0,2.082089552238806,0.7348023572710667,0.07608147500000001,1476.25,0.55,0.75,0.75,4.7,0.525,,0.65,0.6790123456790124,,0.75,0.7272727272727273,0.504338765084743,0.5186655581574718,3.448655,1.3868850827510129,1.4979356316472052,0.85,44.0,13.0,31.0,33.27840909090909,363.0,525.0,0.6914285714285714,0.6177615392508308,-0.06668686922727274,-1052.2954545454545,0.45454545454545453,0.3409090909090909,0.2727272727272727,2.6363636363636362,0.43529411764705883,,0.5227272727272727,0.40865384615384615,0.6,0.36363636363636365,0.41935483870967744,0.49306768295705355,0.4678734225840897,2.565243181818182,1.4888886170293463,1.8349383623203714,0.29545454545454547,KT Rolster,BRION,2023-07-09,LCK,1
21.0,4.0,17.0,29.89920634920635,166.0,285.0,0.5824561403508772,0.7300261626954133,-0.06948025714285715,-923.047619047619,0.42857142857142855,0.3333333333333333,0.14285714285714285,3.2857142857142856,0.5,,0.5238095238095238,0.35294117647058826,,0.19047619047619047,0.25,0.4889791255417827,0.45793279816250376,3.691552380952381,1.7083515865593997,1.665723432504971,0.19047619047619047,21.0,6.0,15.0,32.387301587301586,230.0,304.0,0.756578947368421,0.7734803646567625,-0.03547333047619047,-1362.8095238095239,0.38095238095238093,0.42857142857142855,0.38095238095238093,3.5714285714285716,0.42857142857142855,,0.47619047619047616,0.40425531914893614,0.5,0.5714285714285714,0.45161290322580644,0.5003888652664625,0.47109601586733113,3.7516571428571432,1.7223573503238365,1.7797250703112635,0.2857142857142857,Nongshim RedForce,Liiv SANDBOX,2023-07-08,LCK,1
